Mouse_ID,Neuron_ID,Model,R²_train,R²_test
Mouse509,Neuron_47,all,0.02805952430993437,-0.02310304082785697
Mouse509,Neuron_48,motion,0.015776919741648788,-0.0398950656252226
Mouse509,Neuron_48,BF,0.004247893870824471,-0.0232670768737695
Mouse509,Neuron_48,BFmotion,0.022505902277739874,-0.04203081690381394
Mouse509,Neuron_48,HR,-0.0016457572539437138,-0.04314972817192597
Mouse509,Neuron_48,HRmotion,0.01959819353494352,-0.03746274699914043
Mouse509,Neuron_48,all,0.021884485369325503,-0.04196646432553175
Mouse509,Neuron_49,motion,0.003437828948967092,-0.05037916825170097
Mouse509,Neuron_49,BF,7.960304555336695e-05,-0.05544726460597116
Mouse509,Neuron_49,BFmotion,0.0033846345572602576,-0.04415635908165161
Mouse509,Neuron_49,HR,0.0005022998604912177,-0.22184340229049737
Mouse509,Neuron_49,HRmotion,0.006270372834344973,-0.11927552039513722
Mouse509,Neuron_49,all,0.006371293604505857,-0.11297661569306183
Mouse509,Neuron_50,motion,0.004568023648975505,-0.0803593766777091
Mouse509,Neuron_50,BF,0.0025750807346891502,-0.09890795227951754
Mouse509,Neuron_50,BFmotion,0.009563403432514783,-0.06558316524344043
Mouse509,Neuron_50,HR,-0.0008034572202628265,-0.12598926664093169
Mouse509,Neuron_50,HRmotion,0.0053631886404660765,-0.08908684782256637
Mouse509,Neuron_50,all,0.009511882796950344,-0.07761736900896032
Mouse509,Neuron_51,motion,-0.0031270051404235664,0.0007784687560139503
Mouse509,Neuron_51,BF,0.0024980303246231903,-0.016350084827063016
Mouse509,Neuron_51,BFmotion,0.0009449003772192155,-0.016310628899287583
Mouse509,Neuron_51,HR,0.001692212535572679,0.005844784128428482
Mouse509,Neuron_51,HRmotion,0.0075091166709719825,0.026573073659563295
Mouse509,Neuron_51,all,0.014830304976116681,0.002976434014596685
Mouse509,Neuron_52,motion,0.025720616561318587,0.0761178147442424
Mouse509,Neuron_52,BF,0.0046536271504955765,0.010100647079820058
Mouse509,Neuron_52,BFmotion,0.02662307527007657,0.07825849220990544
Mouse509,Neuron_52,HR,0.02459707949864871,0.04801925603522583
Mouse509,Neuron_52,HRmotion,0.030714069922097666,0.07842179888250267
Mouse509,Neuron_52,all,0.031214000315351466,0.08709138846546427
Mouse509,Neuron_53,motion,0.019068589158240612,0.052405492858001446
Mouse509,Neuron_53,BF,0.007061867496521779,0.005677250936791833
Mouse509,Neuron_53,BFmotion,0.025327777711268217,0.07358928041751167
Mouse509,Neuron_53,HR,0.018167835227860207,0.014585259529002248
Mouse509,Neuron_53,HRmotion,0.025976864050852932,0.04440967205804369
Mouse509,Neuron_53,all,0.03595938393165421,0.06615899065959707
Mouse509,Neuron_54,motion,0.06145846895977229,-0.011004762498604714
Mouse509,Neuron_54,BF,0.03816977806100337,-0.05929847676615507
Mouse509,Neuron_54,BFmotion,0.07777954639246373,-0.04029761834807455
Mouse509,Neuron_54,HR,0.001440235125335465,-0.022592307566506875
Mouse509,Neuron_54,HRmotion,0.0688215149779686,-0.01762561598649004
Mouse509,Neuron_54,all,0.08356234121914399,-0.05456983660824699
Mouse509,Neuron_55,motion,-0.0003783782682843517,-0.03677501172591735
Mouse509,Neuron_55,BF,0.003875731289388984,-0.010419470441954237
Mouse509,Neuron_55,BFmotion,0.011436370857357736,-0.014352203900518834
Mouse509,Neuron_55,HR,-0.00019121059800417673,-0.04362811438944614
Mouse509,Neuron_55,HRmotion,0.0002264086873589477,-0.05669546615673382
Mouse509,Neuron_55,all,0.013040505222684984,-0.036780543256023535
Mouse509,Neuron_56,motion,0.03973122411353906,0.08934525370343593
Mouse509,Neuron_56,BF,-0.00011554958346857714,-0.008664302711334892
Mouse509,Neuron_56,BFmotion,0.03981139829438003,0.0930273262289526
Mouse509,Neuron_56,HR,0.09791444781193777,0.05711581092818896
Mouse509,Neuron_56,HRmotion,0.09854397808005273,0.0443738409843234
Mouse509,Neuron_56,all,0.11388004564253892,0.05323683398534296
Mouse509,Neuron_57,motion,0.021164564943473407,0.02630047081325204
Mouse509,Neuron_57,BF,0.017047308927617678,0.007923261771619727
Mouse509,Neuron_57,BFmotion,0.026594510641274095,0.026095944005490757
Mouse509,Neuron_57,HR,0.008060279571769847,-0.0012485397018411337
Mouse509,Neuron_57,HRmotion,0.02187148633481688,0.021971225104622683
Mouse509,Neuron_57,all,0.025676372103233747,0.023014748795222584
Mouse509,Neuron_58,motion,0.012394644816429578,0.0066839661027112696
Mouse509,Neuron_58,BF,0.011572650869359902,0.01978208241029178
Mouse509,Neuron_58,BFmotion,0.017689127462783772,0.019643080200774432
Mouse509,Neuron_58,HR,0.010792713857863534,0.0018572044480700267
Mouse509,Neuron_58,HRmotion,0.014379504752666871,0.0058430140192934354
Mouse509,Neuron_58,all,0.018794381918549274,0.015867300090865788
Mouse509,Neuron_59,motion,0.008695483899790335,0.022818243075444444
Mouse509,Neuron_59,BF,-0.0011383132271352236,-0.0028405195713239184
Mouse509,Neuron_59,BFmotion,0.008408764008851021,0.021862830275793055
Mouse509,Neuron_59,HR,-0.001273531209893508,-0.0026699742749010102
Mouse509,Neuron_59,HRmotion,0.010663025628947142,0.016290982722891756
Mouse509,Neuron_59,all,0.011716378551392358,0.01720016981168404
Mouse509,Neuron_60,motion,0.005351279328682379,-0.018807106699302967
Mouse509,Neuron_60,BF,0.0005716685364727913,-0.02435196274283835
Mouse509,Neuron_60,BFmotion,0.010023582692829169,-0.027580859692197368
Mouse509,Neuron_60,HR,0.01307645669525681,-0.0186127530111444
Mouse509,Neuron_60,HRmotion,0.019913489828971252,-0.011634970691714264
Mouse509,Neuron_60,all,0.03180796890956792,-0.0063325885095644185
Mouse509,Neuron_61,motion,0.0061579382589340035,0.008541019594611399
Mouse509,Neuron_61,BF,0.001337618546403929,-0.0025518927524779134
Mouse509,Neuron_61,BFmotion,0.009979343984981303,0.021489929045924727
Mouse509,Neuron_61,HR,-0.0005772048833416088,-0.0010079642564664315
Mouse509,Neuron_61,HRmotion,0.008316564801347437,0.009042046809828896
Mouse509,Neuron_61,all,0.010989483327676398,0.021540687203335795
Mouse509,Neuron_62,motion,0.22035638234591426,0.2681424414554494
Mouse509,Neuron_62,BF,0.23055895844866175,0.30380501922397307
Mouse509,Neuron_62,BFmotion,0.29887734112368014,0.3800719826037804
Mouse509,Neuron_62,HR,0.22643334645016294,0.2321052225220933
Mouse509,Neuron_62,HRmotion,0.30139881768388865,0.31716683534725065
Mouse509,Neuron_62,all,0.3393583432342371,0.38434363352273815
Mouse509,Neuron_63,motion,0.042885431945494566,0.04621367028374612
Mouse509,Neuron_63,BF,0.04570370808237907,0.02372265760022474
Mouse509,Neuron_63,BFmotion,0.06253868092649333,0.043789899903094454
Mouse509,Neuron_63,HR,0.03612532552039753,0.04627034496600535
Mouse509,Neuron_63,HRmotion,0.06280405133855929,0.08038844809620693
Mouse509,Neuron_63,all,0.07542025569123871,0.06595330014436973
Mouse509,Neuron_64,motion,0.005861123696438586,0.010343201718014172
Mouse509,Neuron_64,BF,0.005347039659710706,-0.0005346976301698891
Mouse509,Neuron_64,BFmotion,0.014288561505295849,0.021814755946286013
Mouse509,Neuron_64,HR,0.0065800219716082966,0.0044470184728120365
Mouse509,Neuron_64,HRmotion,0.009130317285799517,0.007527585109034285
Mouse509,Neuron_64,all,0.022625691387683576,0.021967283192164233
Mouse509,Neuron_65,motion,0.034211265279686945,0.08917603681467079
Mouse509,Neuron_65,BF,0.0527126967945609,0.07105981174857368
Mouse509,Neuron_65,BFmotion,0.06375186124305154,0.11531788429525691
Mouse509,Neuron_65,HR,0.046620694499531566,0.03789337743081789
Mouse509,Neuron_65,HRmotion,0.04969417682842388,0.07004375717743982
